country_id,google_maps_url,openstreetmaps_url
139,https://goo.gl/maps/JtnqG73WJn1Gx6mz6,https://www.openstreetmap.org/relation/287077
140,https://goo.gl/maps/8VohJGu7ShuzZYyeA,https://www.openstreetmap.org/relation/214665
141,https://goo.gl/maps/9gfPupm5bffixiFJ6,https://www.openstreetmap.org/relation/21335
142,https://goo.gl/maps/L6b2AgndgHprt2Ko9,https://www.openstreetmap.org/relation/2171347#map=10/49.8167/6.1335
143,https://goo.gl/maps/7nU3mB69vP6zQp7A8,https://www.openstreetmap.org/relation/5441968
144,https://goo.gl/maps/eas4GP28C1GyStnu6,https://www.openstreetmap.org/relation/535790
145,https://goo.gl/maps/fnye4wGJ1RzC9jpX9,https://www.openstreetmap.org/relation/536900
146,https://goo.gl/maps/F5uAhDGWzc3BrHfm9,https://www.openstreetmap.org/relation/186382
147,https://goo.gl/maps/TZH1x7AGanQKifNk7,https://www.openstreetmap.org/relation/2185374
148,https://goo.gl/maps/BbeJK8Sk2VkMHbdF8,https://www.openstreetmap.org/relation/287670
149,https://goo.gl/maps/tiQ9Baekb1jQtDSD9,https://www.openstreetmap.org/relation/287072
150,https://goo.gl/maps/bUM8Yc8pA8ghyhmt6,https://www.openstreetmap.org/relation/3406826
151,https://goo.gl/maps/2Q4hQWCbhuZLj3fG6,https://www.openstreetmap.org/relation/192800
152,https://goo.gl/maps/8rQgW88jEXijhVb58,https://www.openstreetmap.org/relation/214626
153,https://goo.gl/maps/Ap5qN8qien6pT9UN6,https://www.openstreetmap.org/relation/2186600
154,https://goo.gl/maps/E364KeLy6N4JwxwQ8,https://www.openstreetmap.org/relation/1889339
155,https://goo.gl/maps/BzN9cTuj68ZA8SyZ8,https://www.openstreetmap.org/relation/53292
156,https://goo.gl/maps/LTn417qWwBPFszuV9,https://www.openstreetmap.org/relation/192787
157,https://goo.gl/maps/bbGBCxxtfD2A9Z4m6,https://www.openstreetmap.org/relation/192774
158,https://goo.gl/maps/77hPBRdLid8yD5Bm7,https://www.openstreetmap.org/relation/307787
159,https://goo.gl/maps/4XVes1P6uEDTz77WA,https://www.openstreetmap.org/relation/1216720
160,https://goo.gl/maps/hwAjehcT7VfvP5zJ8,https://www.openstreetmap.org/relation/2177246
161,https://goo.gl/maps/BaTBSyc4GWMmbAKB8,https://www.openstreetmap.org/relation/295480
162,https://goo.gl/maps/p9qC6vgiFRRXzvGi7,https://www.openstreetmap.org/relation/270056
163,https://goo.gl/maps/QbQt9Y9b5KFzsahV6,https://www.openstreetmap.org/relation/536780
164,https://goo.gl/maps/UddGPN7hAyrtpFiT6,https://www.openstreetmap.org/relation/50046
165,https://goo.gl/maps/Avy5RSmdsXFBaiXq8,https://www.openstreetmap.org/relation/192781
166,https://goo.gl/maps/wMbnMqjG37FMnrwf7,https://www.openstreetmap.org/relation/550725
167,https://goo.gl/maps/P9ho9QuJ9EAR28JEA,https://www.openstreetmap.org/relation/63064
168,https://goo.gl/maps/4VsHsc2oeGeRL3wg6,https://www.openstreetmap.org/relation/192780
169,https://goo.gl/maps/1sEnNmT47ffrC8MU8,https://www.openstreetmap.org/relation/913110
170,https://goo.gl/maps/JoRAbem4Hxb9FYbVA,https://www.openstreetmap.org/relation/1521463
171,https://goo.gl/maps/jhacar85oq9QaeKB7,https://www.openstreetmap.org/relation/192777
172,https://goo.gl/maps/DGpndDot28bYdXYn7,https://www.openstreetmap.org/relation/1124039
173,https://goo.gl/maps/Sz5VCU8UFBqMyTdc9,https://www.openstreetmap.org/relation/184843
174,https://goo.gl/maps/aqCcy2TKh5TV5MAX8,https://www.openstreetmap.org/relation/536765
175,https://goo.gl/maps/mweBcqvW8TppZW6q9,https://www.openstreetmap.org/relation/195271
176,https://goo.gl/maps/KLCwDN8sec7z2kse9,https://www.openstreetmap.org/relation/272644
177,https://goo.gl/maps/iy7TuQLSi4qgoBoG7,https://www.openstreetmap.org/relation/287082
178,https://goo.gl/maps/wWpBrXsp8UHVbah29,https://www.openstreetmap.org/relation/1785276
179,https://goo.gl/maps/DvgJMiPJ7aozKFZv7,https://www.openstreetmap.org/relation/60199
180,https://goo.gl/maps/iQpUkH7ghq31ZtXe9,https://www.openstreetmap.org/relation/72594
181,https://goo.gl/maps/mD9FBMq1nvXUBrkv6,https://www.openstreetmap.org/relation/51477
182,https://goo.gl/maps/HRyqUpnPwwG6jY5j6,https://www.openstreetmap.org/relation/296961
183,https://goo.gl/maps/qSG6xTKUmrYpwmGQ6,https://www.openstreetmap.org/relation/214885
184,https://goo.gl/maps/ChGmzZBjZ3vnBwR2A,https://goo.gl/maps/ChGmzZBjZ3vnBwR2A
185,https://goo.gl/maps/MVasQBbUkQP7qQDR9,https://www.openstreetmap.org/relation/571805
186,https://www.google.com/maps/place/Bosnia+and+Herzegovina,https://www.openstreetmap.org/relation/2528142
187,https://goo.gl/maps/4THX1fM7WqANuPbB8,https://www.openstreetmap.org/relation/53296
188,https://goo.gl/maps/eLgGnaQWcJEdYRMy5,openstreetmap.org/relation/192758
189,https://goo.gl/maps/ZV76Y49z7LLUZ2KQ6,https://www.openstreetmap.org/relation/305095
190,https://goo.gl/maps/5LYujdfR5yLUXoERA,https://www.openstreetmap.org/relation/307573
191,https://goo.gl/maps/9q5T2DMeH5JL7Tky6,https://www.openstreetmap.org/relation/192734
192,https://goo.gl/maps/rxCVJjm8dVY93RPY8,https://www.openstreetmap.org/relation/54624
193,https://goo.gl/maps/8J5oM5sA4Ayr1ZYGA,https://www.openstreetmap.org/relation/192778
194,https://goo.gl/maps/3KgLnEyN7amdno2p9,https://www.openstreetmap.org/relation/2177161
195,https://goo.gl/maps/4jb4CqBXhr8vNh579,https://www.openstreetmap.org/relation/2103120
196,https://goo.gl/maps/AHQh2ABBaFW6Ngj26,https://www.openstreetmap.org/relation/447325
197,https://goo.gl/maps/az3Zz7ar2aoB9AUc6,https://www.openstreetmap.org/relation/364110
198,https://goo.gl/maps/QvTbkRdmdWEoYAmt5,https://www.openstreetmap.org/relation/1703814
199,https://goo.gl/maps/51V8dsi2rGYC9n3c9,https://www.openstreetmap.org/relation/192790
200,https://goo.gl/maps/rqWyfUAt4xhvk1Zy9,https://www.openstreetmap.org/relation/550727
201,https://goo.gl/maps/5Zue99Zc6vFBHxzJ7,https://www.openstreetmap.org/relation/378734
202,https://goo.gl/maps/pCWpWQhznHyRzQcu9,https://www.openstreetmap.org/relation/16239
203,https://goo.gl/maps/g7QxxSFsWyTPKuzd7,https://www.openstreetmap.org/relation/1403916
204,https://goo.gl/maps/CEoHAs1t6byCBhHFA,https://www.openstreetmap.org/relation/1278736
205,https://goo.gl/maps/cZnCEi5sEMQtKKcB7,https://www.openstreetmap.org/relation/1520612
206,https://goo.gl/maps/55Q8MEnF6ACdu3q79,https://www.openstreetmap.org/relation/53293
207,https://goo.gl/maps/NJawFwMzG7YtCrVP7,https://www.openstreetmap.org/relation/2502058
208,https://goo.gl/maps/oR1i8BFEYX3EY83WA,https://www.openstreetmap.org/relation/195266
209,https://goo.gl/maps/DcjaDa7UbhnZTndH6,https://www.openstreetmap.org/relation/80500
210,https://goo.gl/maps/6oMv3dyBZg3iaXQ5A,https://www.openstreetmap.org/relation/3630439
211,https://goo.gl/maps/hxd1BKxgpchStzQC6,https://www.openstreetmap.org/relation/62273
212,https://goo.gl/maps/NLsRGNjTzDghTtAJA,https://www.openstreetmap.org/relation/1993208
213,https://goo.gl/maps/P77LaEVkKJKXneRC6,https://www.openstreetmap.org/relation/287666
214,https://goo.gl/maps/ewFb3vYsfUmVCoSb8,https://www.openstreetmap.org/relation/1650407
215,https://goo.gl/maps/1YzRs1BZrG8p8pmVA,https://www.openstreetmap.org/relation/547469
216,https://goo.gl/maps/L2BoXoAwDDwWecnw5,https://www.openstreetmap.org/relation/305138
217,https://goo.gl/maps/uVuZcXaxSx5jLyEC9,https://www.openstreetmap.org/relation/51701
218,https://goo.gl/maps/47dmgeXMZyhDHyQW8,https://www.openstreetmap.org/relation/51684
219,https://goo.gl/maps/WxFWSQuc3oamNxoE6,https://www.openstreetmap.org/relation/299133
220,https://goo.gl/maps/NGTLSCSrA8bMrvnX9,https://www.openstreetmap.org/relation/382313
221,https://goo.gl/maps/Hv6zQswGhFxoVVBm6,https://www.openstreetmap.org/relation/47796
222,https://goo.gl/maps/jdCccpdLodm1uTmo9,https://www.openstreetmap.org/relation/287827
223,https://goo.gl/maps/2m36v8STvbGAWd9c7,https://www.openstreetmap.org/relation/547511
224,https://goo.gl/maps/PJUDU3EBPSszCQcu6,https://www.openstreetmap.org/relation/59065
225,https://goo.gl/maps/sFqBC9zjgUXPR1iTA,https://www.openstreetmap.org/relation/305142
226,https://goo.gl/maps/Y7812hFiGa8LD9N68,https://www.openstreetmap.org/relation/192796
227,https://goo.gl/maps/WCmE76HKcLideQQw7,https://www.openstreetmap.org/relation/305092
228,https://goo.gl/maps/87ER7sDAFU7JjcvR6,https://www.openstreetmap.org/relation/2473088
229,https://goo.gl/maps/9o13xtjuUdqFnHbn9,https://www.openstreetmap.org/relation/307829
